team_name,year,win_times,sum_score,sum_rebs,sum_assit
IND,2011,26,5543,2428,1036
IND,2012,57,8929,4115,1774
IND,2013,56,7785,3627,1658
IND,2014,43,8106,3830,1702
IND,2015,44,8137,3581,1720
IND,2016,27,5090,2237,1095
LAC,1985,11,3457,1364,752
LAC,1986,25,8345,3181,1872
LAC,1987,16,8027,3245,1913
LAC,1988,19,8744,3749,2002
LAC,1989,21,8415,3364,2134
LAC,1990,31,8722,3695,2093
LAC,1991,36,8694,3786,2088
LAC,1992,44,8261,3405,2045
LAC,1993,37,8574,3479,2231
LAC,1994,20,8458,3506,2067
LAC,1995,24,8187,3146,1822
LAC,1996,29,7934,3203,1592
LAC,1997,31,8039,3379,1631
LAC,1998,11,5015,2084,1006
LAC,1999,18,7170,3166,1331
LAC,2000,16,7696,3535,1525
LAC,2001,36,7575,3410,1630
LAC,2002,36,7895,3538,1723
LAC,2003,28,7557,3472,1544
LAC,2004,28,7721,3405,1751
LAC,2005,40,7875,3551,1823
LAC,2006,45,8151,3512,1735
LAC,2007,36,7671,3389,1764
LAC,2008,21,7898,3365,1745
LAC,2009,25,7966,3268,1821
LAC,2010,25,7986,3535,1818
LAC,2011,23,5182,2142,1160
LAC,2012,64,9315,3931,2054
LAC,2013,52,8564,3543,1995
LAC,2014,58,8896,3453,2052
LAC,2015,55,8755,3583,2004
LAC,2016,32,5071,2012,1093
LAL,1985,25,3623,1397,915
LAL,1986,59,9273,3500,2352
LAL,1987,63,9323,3559,2317
LAL,1988,61,9564,3671,2394
LAL,1989,59,9043,3661,2201
LAL,1990,59,8934,3473,2192
LAL,1991,58,8815,3592,2087
LAL,1992,41,8087,3215,1742
LAL,1993,33,8608,3478,2084
LAL,1994,41,8203,3434,1957
LAL,1995,47,9033,3550,2203
LAL,1996,59,8351,3367,2046
LAL,1997,57,8290,3417,1866
LAL,1998,38,5493,2331,1269
LAL,1999,56,7871,3520,1726
LAL,2000,64,8606,3876,2047
LAL,2001,55,7700,3446,1757
LAL,2002,50,8639,3867,1993
LAL,2003,58,8034,3382,1872
LAL,2004,50,7861,3531,1774
LAL,2005,34,8233,3574,1731
LAL,2006,50,8572,3479,1864
LAL,2007,41,8455,3474,1841
LAL,2008,63,8928,3615,1996
LAL,2009,65,8772,3660,1916
LAL,2010,55,8542,3703,1764
LAL,2011,37,5361,2357,1166
LAL,2012,53,9046,4203,2020
LAL,2013,43,8458,3672,1875
LAL,2014,24,8558,3353,1973
LAL,2015,17,7984,3651,1660
LAL,2016,11,4789,2107,866
MEM,2001,9,2703,1226,652
MEM,2002,23,7593,3440,1834
MEM,2003,34,8110,3490,1952
MEM,2004,49,7775,3333,1834
MEM,2005,50,7421,3074,1600
MEM,2006,37,7969,3292,1600
MEM,2007,23,8293,3259,1711
MEM,2008,24,8269,3414,1506
MEM,2009,29,7873,3315,1472
MEM,2010,39,8389,3494,1584
MEM,2011,33,5296,2204,1111
MEM,2012,59,8630,3851,1821
MEM,2013,50,7848,3566,1768
MEM,2014,60,8208,3509,1855
MEM,2015,50,8177,3580,1789
MEM,2016,24,4847,2018,980
MIA,1988,3,2552,1162,577
MIA,1989,19,8372,3641,2005
MIA,1990,19,8288,3540,2007
MIA,1991,30,8500,3592,1851
MIA,1992,32,8173,3285,1720
MIA,1993,40,8383,3565,1659
MIA,1994,39,8696,3601,1919
MIA,1995,38,8183,3452,1693
